direction,value,Stamp_Parameters,rep
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
78.876404494,0.020107287,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
80.898876404,0.021147809,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
82.921348315,0.021621135,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
84.943820225,0.021818378,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
86.966292135,0.02169433,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
88.988764045,0.019873881,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
91.011235955,0.019610116,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
93.033707865,0.017523808,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
95.056179775,0.015789198,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
97.078651685,0.013885855,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
99.101123596,0.013038042,12.5,1
101.123595506,0.012166734,12.5,1
101.123595506,0.012166734,12.5,1
101.123595506,0.012166734,12.5,1
101.123595506,0.012166734,12.5,1
101.123595506,0.012166734,12.5,1
101.123595506,0.012166734,12.5,1
101.123595506,0.012166734,12.5,1
101.123595506,0.012166734,12.5,1
101.123595506,0.012166734,12.5,1
101.123595506,0.012166734,12.5,1
101.123595506,0.012166734,12.5,1
103.146067416,0.011604456,12.5,1
103.146067416,0.011604456,12.5,1
103.146067416,0.011604456,12.5,1
103.146067416,0.011604456,12.5,1
103.146067416,0.011604456,12.5,1
103.146067416,0.011604456,12.5,1
103.146067416,0.011604456,12.5,1
103.146067416,0.011604456,12.5,1
103.146067416,0.011604456,12.5,1
103.146067416,0.011604456,12.5,1
103.146067416,0.011604456,12.5,1
105.168539326,0.010656954,12.5,1
105.168539326,0.010656954,12.5,1
105.168539326,0.010656954,12.5,1
105.168539326,0.010656954,12.5,1
105.168539326,0.010656954,12.5,1
105.168539326,0.010656954,12.5,1
105.168539326,0.010656954,12.5,1
105.168539326,0.010656954,12.5,1
105.168539326,0.010656954,12.5,1
105.168539326,0.010656954,12.5,1
107.191011236,0.010533507,12.5,1
107.191011236,0.010533507,12.5,1
107.191011236,0.010533507,12.5,1
107.191011236,0.010533507,12.5,1
107.191011236,0.010533507,12.5,1
107.191011236,0.010533507,12.5,1
107.191011236,0.010533507,12.5,1
107.191011236,0.010533507,12.5,1
107.191011236,0.010533507,12.5,1
107.191011236,0.010533507,12.5,1
109.213483146,0.009930218,12.5,1
109.213483146,0.009930218,12.5,1
109.213483146,0.009930218,12.5,1
109.213483146,0.009930218,12.5,1
109.213483146,0.009930218,12.5,1
109.213483146,0.009930218,12.5,1
109.213483146,0.009930218,12.5,1
109.213483146,0.009930218,12.5,1
109.213483146,0.009930218,12.5,1
111.235955056,0.009900231,12.5,1
111.235955056,0.009900231,12.5,1
111.235955056,0.009900231,12.5,1
111.235955056,0.009900231,12.5,1
111.235955056,0.009900231,12.5,1
111.235955056,0.009900231,12.5,1
111.235955056,0.009900231,12.5,1
